accession	strain
LC107900	A250-OsakaC-JPN-2015
LC107901	A252-OsakaC-JPN-2015
KT285485	BCH4235A
KT285484	BCH824A
KP455289	CAN05-120
KP455260	CAN07-137
KP455251	CAN09-140
KP455253	CAN09-74
KP455254	CAN09-79
KP455257	CAN10-248
KP455256	CAN10-264
KP455252	CAN10-37
KP455288	CAN10-52
KP455255	CAN10-65
KP455287	CAN11-97
KP455259	CAN12-106
KP455279	CAN14-144
KP455269	CAN14-153
KP455273	CAN14-165
KP455281	CAN14-183
KP455278	CAN14-185
KP455280	CAN14-187
KP455265	CAN14-198
KP455285	CAN14-235
KP455275	CAN14-260
KP455266	CAN14-272
KP455258	CAN14-314
KP455264	CAN14-330
KP455284	CAN14-344
KP455271	CAN14-453
KP455276	CAN14-455
KP455286	CAN14-459
KP455272	CAN14-534
KP455267	CAN14-537
KP455282	CAN14-547
KP455268	CAN14-636
KP455283	CAN14-683
KP455274	CAN14-826
KP455277	CAN14-869
KP455270	CAN14-884
KY042026	CAN16-126
KP455262	CAN97-947
KP455263	CAN98-1111
KP455261	CAN99-1460
KT764078	CQ5313
KU509997	EV-D68/environment/Gainesville/1/2015
KX255410	EV-D68/Homosapiens/USA/C2204/2003
KX255372	EV-D68/Homosapiens/USA/C2206/2003
KX255388	EV-D68/Homosapiens/USA/C2386/2003
KX255405	EV-D68/Homosapiens/USA/C2590/2000
KX255400	EV-D68/Homosapiens/USA/C3256/2003
KX255393	EV-D68/Homosapiens/USA/C3486/2005
KX255357	EV-D68/Homosapiens/USA/C3578/2000
KX255353	EV-D68/Homosapiens/USA/C3963/2000
KX255391	EV-D68/Homosapiens/USA/C6261/2000
KX433166	EV-D68/Homosapiens/USA/C6633/2000
KX255402	EV-D68/Homosapiens/USA/C6832/2009
KX255408	EV-D68/Homosapiens/USA/C6840/2009
KX255363	EV-D68/Homosapiens/USA/C6944/2006
KX255376	EV-D68/Homosapiens/USA/C7245/2011
KX255392	EV-D68/Homosapiens/USA/C7396/2012
KX433164	EV-D68/Homosapiens/USA/C7413/2012
KX433162	EV-D68/Homosapiens/USA/C7429/2012
KX255390	EV-D68/Homosapiens/USA/C7714/2014
KX255362	EV-D68/Homosapiens/USA/C7715/2014
KX255403	EV-D68/Homosapiens/USA/C7716/2014
KX255352	EV-D68/Homosapiens/USA/C7720/2014
KX255415	EV-D68/Homosapiens/USA/C7721/2014
KX255364	EV-D68/Homosapiens/USA/C7722/2014
KX255373	EV-D68/Homosapiens/USA/C7723/2014
KX255378	EV-D68/Homosapiens/USA/C7729/2014
KX255411	EV-D68/Homosapiens/USA/C7730/2014
KX255354	EV-D68/Homosapiens/USA/C7731/2014
KX255367	EV-D68/Homosapiens/USA/C7732/2014
KX255385	EV-D68/Homosapiens/USA/C7733/2014
KX255407	EV-D68/Homosapiens/USA/C7743/2014
KX255389	EV-D68/Homosapiens/USA/C7745/2014
KX255382	EV-D68/Homosapiens/USA/C7787/2014
KX255413	EV-D68/Homosapiens/USA/C7788/2014
KX255395	EV-D68/Homosapiens/USA/C7789/2014
KX433161	EV-D68/Homosapiens/USA/C7791/2014
KX255379	EV-D68/Homosapiens/USA/C7793/2014
KX261820	EV-D68/Homosapiens/USA/MO61/2009
KX261807	EV-D68/Homosapiens/USA/MO62/2009
KX261794	EV-D68/Homosapiens/USA/MO63/2009
KX261808	EV-D68/Homosapiens/USA/MO64/2009
KX261799	EV-D68/Homosapiens/USA/MO65/2009
KX261826	EV-D68/Homosapiens/USA/MO66/2009
KX261804	EV-D68/Homosapiens/USA/MO67/2009
KX261793	EV-D68/Homosapiens/USA/MO68/2009
KX261817	EV-D68/Homosapiens/USA/MO69/2009
KX261795	EV-D68/Homosapiens/USA/MO70/2009
